,Points Rank,Likelihood Rank,7 letter word,% Chance,Total Points
242,4,323,edition,9.069926399999998e-11,10
542,9,324,monthly,9.216e-11,15
724,15,324,quonked,9.216e-11,21
63,15,325,benzoyl,9.216000000000002e-11,21
18,3,326,airline,1.0203667199999998e-10,9
589,15,327,outjinx,1.0367999999999997e-10,21
714,15,327,quinche,1.0367999999999997e-10,21
679,7,328,pushing,1.0368000000000001e-10,13
801,8,328,smoking,1.0368000000000001e-10,14
466,9,328,kingdom,1.0368000000000001e-10,15
121,10,328,chamber,1.0368000000000001e-10,16
254,13,328,exactly,1.0368000000000001e-10,19
717,15,328,quirked,1.0368000000000001e-10,21
268,16,328,fahlerz,1.0368000000000001e-10,22
701,16,328,quavery,1.0368000000000001e-10,22
718,16,328,quivery,1.0368000000000001e-10,22
706,19,328,quetzal,1.0368000000000001e-10,25
715,19,328,quinzes,1.0368000000000001e-10,25
484,4,329,learned,1.0749542399999999e-10,10
740,4,329,related,1.0749542399999999e-10,10
583,5,329,operate,1.0749542399999999e-10,11
638,5,329,pioneer,1.0749542399999999e-10,11
888,9,330,walking,1.1664e-10,15
477,17,330,kyanize,1.1664e-10,23
81,7,331,brought,1.3823999999999998e-10,13
670,12,331,project,1.3823999999999998e-10,18
356,7,332,husband,1.3824000000000003e-10,13
348,9,332,himself,1.3824000000000003e-10,15
379,15,332,isozyme,1.3824000000000003e-10,21
45,17,332,azulejo,1.3824000000000003e-10,23
862,8,333,typical,1.5552e-10,14
238,9,333,dynamic,1.5552e-10,15
923,9,333,working,1.5552e-10,15
467,10,333,kitchen,1.5552e-10,16
698,13,333,quality,1.5552e-10,19
17,15,333,agryzed,1.5552e-10,21
328,16,333,hafizes,1.5552e-10,22
905,16,333,whaizle,1.5552e-10,22
756,15,334,rhizoma,1.5552000000000002e-10,21
413,17,334,jezails,1.5552000000000002e-10,23
239,3,335,eastern,1.6124313599999998e-10,9
607,8,336,parking,1.7495999999999998e-10,14
667,6,337,product,1.8432e-10,12
785,7,337,shortly,1.8432e-10,13
214,8,337,desktop,1.8432e-10,14
663,7,338,problem,1.8432000000000004e-10,13
632,13,339,phoenix,2.0735999999999994e-10,19
250,17,339,equinox,2.0735999999999994e-10,23
719,17,339,quixote,2.0735999999999994e-10,23
192,6,340,crystal,2.0736000000000002e-10,12
169,8,340,confirm,2.0736000000000002e-10,14
788,8,340,showing,2.0736000000000002e-10,14
898,8,340,webcast,2.0736000000000002e-10,14
266,9,340,factory,2.0736000000000002e-10,15
880,9,340,victory,2.0736000000000002e-10,15
448,10,340,justice,2.0736000000000002e-10,16
428,11,340,jointly,2.0736000000000002e-10,17
757,15,340,rhizome,2.0736000000000002e-10,21
547,5,341,musical,2.0736000000000005e-10,11
224,7,341,display,2.0736000000000005e-10,13
46,15,342,azymite,2.3327999999999994e-10,21
126,9,343,charity,2.3328e-10,15
196,15,343,cyanize,2.3328e-10,21
186,6,344,country,2.7647999999999996e-10,12
292,6,344,formula,2.7647999999999996e-10,12
649,9,344,poverty,2.7647999999999996e-10,15
434,11,344,journey,2.7647999999999996e-10,17
872,5,345,upscale,2.7648000000000006e-10,11
125,8,346,chapter,3.1103999999999994e-10,14
537,10,346,mixture,3.1103999999999994e-10,16
643,5,347,plastic,3.1104e-10,11
341,7,347,helping,3.1104e-10,13
617,8,347,payment,3.1104e-10,14
849,9,347,therapy,3.1104e-10,15
937,17,347,zanjero,3.1104e-10,23
339,10,348,heavily,3.1104000000000004e-10,16
152,6,349,clothes,3.6864e-10,12
666,6,349,produce,3.6864e-10,12
856,7,349,touched,3.6864e-10,13
115,6,350,century,4.1471999999999994e-10,12
150,4,351,closing,4.1472000000000004e-10,10
353,5,351,housing,4.1472000000000004e-10,11
106,6,351,careful,4.1472000000000004e-10,12
351,6,351,holding,4.1472000000000004e-10,12
836,6,351,surface,4.1472000000000004e-10,12
868,6,351,uniform,4.1472000000000004e-10,12
156,7,351,combine,4.1472000000000004e-10,13
162,7,351,compare,4.1472000000000004e-10,13
349,7,351,history,4.1472000000000004e-10,13
368,8,351,improve,4.1472000000000004e-10,14
433,8,351,journal,4.1472000000000004e-10,14
561,8,351,network,4.1472000000000004e-10,14
352,8,352,holiday,4.147200000000001e-10,14
535,7,353,mistake,4.665599999999999e-10,13
500,8,353,machine,4.665599999999999e-10,14
593,17,353,oxazine,4.665599999999999e-10,23
262,10,354,explain,4.6656e-10,16
8,12,354,acquire,4.6656e-10,18
105,5,355,capture,6.220799999999999e-10,11
637,5,355,picture,6.220799999999999e-10,11
652,6,355,predict,6.220799999999999e-10,12
585,5,356,optical,6.2208e-10,11
871,5,356,upgrade,6.2208e-10,11
488,6,356,liberty,6.2208e-10,12
520,6,356,medical,6.2208e-10,12
619,6,356,penalty,6.2208e-10,12
271,7,356,fashion,6.2208e-10,13
28,8,356,anxious,6.2208e-10,14
811,5,357,special,6.220800000000001e-10,11
234,6,358,drawing,6.998399999999999e-10,12
27,11,358,anxiety,6.998399999999999e-10,17
184,3,359,counsel,7.3728e-10,9
151,3,360,closure,7.372800000000001e-10,9
225,4,361,dispute,8.294400000000001e-10,10
369,4,361,include,8.294400000000001e-10,10
207,5,361,default,8.294400000000001e-10,11
671,5,361,promise,8.294400000000001e-10,11
857,5,361,towards,8.294400000000001e-10,11
179,6,361,convert,8.294400000000001e-10,12
668,6,361,profile,8.294400000000001e-10,12
743,6,361,removal,8.294400000000001e-10,12
803,6,361,society,8.294400000000001e-10,12
676,7,361,provide,8.294400000000001e-10,13
104,5,362,caption,9.331199999999998e-10,11
884,4,363,virtual,9.3312e-10,10
99,5,363,caliber,9.3312e-10,11
148,5,363,climate,9.3312e-10,11
780,5,363,serving,9.3312e-10,11
127,6,363,charlie,9.3312e-10,12
859,3,364,trouble,1.1059199999999998e-09,9
560,4,364,nervous,1.1059199999999998e-09,10
751,4,364,respond,1.1059199999999998e-09,10
216,5,364,destroy,1.1059199999999998e-09,11
295,5,364,founder,1.1059199999999998e-09,11
568,3,365,nuclear,1.24416e-09,9
212,5,365,density,1.24416e-09,11
875,4,366,various,1.2441600000000002e-09,10
586,4,367,organic,1.3996799999999997e-09,10
336,6,367,heading,1.3996799999999997e-09,12
874,7,367,variety,1.3996799999999997e-09,13
481,2,368,lasting,1.3996799999999999e-09,8
97,5,368,cabinet,1.3996799999999999e-09,11
662,6,368,private,1.3996799999999999e-09,12
185,3,369,counter,1.6588800000000002e-09,9
213,4,369,deposit,1.6588800000000002e-09,10
293,4,369,fortune,1.6588800000000002e-09,10
40,3,370,auction,1.8662399999999995e-09,9
110,3,370,caution,1.8662399999999995e-09,9
290,5,370,foreign,1.8662399999999995e-09,11
113,3,371,central,1.86624e-09,9
270,4,371,failure,1.86624e-09,10
13,5,371,adviser,1.86624e-09,11
732,5,372,readily,1.8662400000000004e-09,11
55,4,373,bearing,2.0995199999999994e-09,10
56,4,373,beating,2.0995199999999994e-09,10
338,5,373,hearing,2.0995199999999994e-09,11
896,5,374,wearing,2.09952e-09,11
563,3,375,notable,2.48832e-09,9
776,3,375,section,2.48832e-09,9
644,4,375,pointed,2.48832e-09,10
878,4,375,version,2.48832e-09,10
883,4,375,violent,2.48832e-09,10
824,2,376,strange,2.7993599999999997e-09,8
33,3,376,article,2.7993599999999997e-09,9
204,3,376,dealing,2.7993599999999997e-09,9
483,3,376,leading,2.7993599999999997e-09,9
530,3,376,mineral,2.7993599999999997e-09,9
742,3,376,remains,2.7993599999999997e-09,9
601,4,376,painted,2.7993599999999997e-09,10
733,4,376,reality,2.7993599999999997e-09,10
591,2,377,outside,3.3177600000000003e-09,8
674,3,378,protein,3.732479999999999e-09,9
562,1,379,neutral,3.73248e-09,7
823,2,379,storage,3.73248e-09,8
26,4,379,another,3.73248e-09,10
0,3,380,Reading,4.199039999999999e-09,9
116,3,380,certain,4.199039999999999e-09,9
375,2,381,instead,5.5987199999999995e-09,8
764,1,382,routine,7.46496e-09,7
