,Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
3145,38.34,44,B,8,Science,93,146
3146,38.34,44,B,8,Science,93,147
3148,38.34,47,B,8,Science,94,149
3150,36.19,48,C,6,Science,86,151
3155,32.72,44,E,2,Science,71,156
3158,38.34,49,B,8,Science,89,159
3160,38.34,46,B,8,Science,92,161
3161,38.34,38,B,8,Science,93,162
3162,34.24,46,D,4,Science,76,163
3179,38.34,48,B,8,Science,92,180
3186,38.34,46,B,8,Science,94,187
3187,38.34,43,B,8,Science,93,188
3192,31.09,41,F,1,Science,65,193
3197,36.19,42,C,6,Science,86,198
3200,36.19,44,C,6,Science,82,201
3208,31.09,43,F,1,Science,63,209
3215,38.34,43,B,8,Science,90,216
3217,38.34,42,B,8,Science,88,218
3219,36.19,50,C,6,Science,87,220
3226,36.19,44,C,6,Science,82,227
3228,36.19,39,C,6,Science,86,229
3234,31.09,44,F,1,Science,60,235
3259,36.19,46,C,6,Science,82,260
3261,38.34,43,B,8,Science,91,262
3265,34.24,46,D,4,Science,78,266
3266,36.19,48,C,6,Science,83,267
3271,31.09,51,F,1,Science,61,272
3279,36.19,41,C,6,Science,82,280
3281,34.24,46,D,4,Science,81,282
3284,36.19,43,C,6,Science,84,285
3288,38.34,50,B,8,Science,93,289
3293,36.19,41,C,6,Science,84,294
3294,32.72,44,E,2,Science,72,295
3297,34.24,50,D,4,Science,78,298
3299,38.34,52,B,8,Science,94,300
3301,31.09,43,F,1,Science,61,302
3302,34.24,44,D,4,Science,79,303
3306,38.34,50,B,8,Science,93,307
3311,32.72,38,E,2,Science,71,312
3312,34.24,48,D,4,Science,78,313
3313,38.34,45,B,8,Science,92,314
3317,38.34,42,B,8,Science,92,318
3320,36.19,52,C,6,Science,83,321
3321,32.72,40,E,2,Science,73,322
3322,34.24,44,D,4,Science,76,323
3325,38.34,47,B,8,Science,89,326
3327,38.34,42,B,8,Science,94,328
3336,32.72,47,E,2,Science,73,337
3340,31.09,44,F,1,Science,60,341
3352,38.34,42,B,8,Science,92,353
3362,31.09,40,F,1,Science,67,363
3370,36.19,47,C,6,Science,82,371
3376,34.24,49,D,4,Science,77,377
3379,34.24,43,D,4,Science,77,380
3381,36.19,56,C,6,Science,82,382
3391,31.09,43,F,1,Science,67,392
3410,36.19,42,C,6,Science,84,411
3411,38.34,42,B,8,Science,93,412
3425,38.34,43,B,8,Science,94,426
3434,31.09,45,F,1,Science,65,435
3438,31.09,41,F,1,Science,67,439
3445,32.72,44,E,2,Science,74,446
3459,38.34,46,B,8,Science,91,460
3463,34.24,50,D,4,Science,80,464
3464,38.34,44,B,8,Science,91,465
3465,34.24,48,D,4,Science,76,466
3474,32.72,44,E,2,Science,74,475
3476,38.34,41,B,8,Science,94,477
3482,38.34,42,B,8,Science,90,483
3484,32.72,38,E,2,Science,73,485
3496,31.09,45,F,1,Science,67,497
3497,32.72,40,E,2,Science,69,498
3503,36.19,47,C,6,Science,84,504
3510,32.72,41,E,2,Science,72,511
3514,36.19,50,C,6,Science,86,515
3515,38.34,44,B,8,Science,91,516
3522,32.72,42,E,2,Science,71,523
3527,38.34,48,B,8,Science,94,528
3528,34.24,41,D,4,Science,75,529
3529,38.34,43,B,8,Science,91,530
3530,32.72,40,E,2,Science,74,531
3532,38.34,46,B,8,Science,88,533
3537,36.19,42,C,6,Science,82,538
3538,34.24,48,D,4,Science,79,539
3540,38.34,43,B,8,Science,93,541
3543,38.34,53,B,8,Science,90,544
3546,32.72,43,E,2,Science,74,547
3550,36.19,52,C,6,Science,84,551
3557,32.72,48,E,2,Science,69,558
3558,32.72,45,E,2,Science,73,559
3559,34.24,40,D,4,Science,75,560
3564,38.34,42,B,8,Science,93,565
3571,38.34,42,B,8,Science,94,572
3576,38.34,40,B,8,Science,91,577
3577,34.24,48,D,4,Science,80,578
3581,36.19,46,C,6,Science,84,582
3584,34.24,41,D,4,Science,81,585
3590,38.34,38,B,8,Science,91,591
3596,32.72,42,E,2,Science,72,597
3598,38.34,46,B,8,Science,90,599
3599,38.34,51,B,8,Science,93,600
3601,32.72,42,E,2,Science,74,602
3604,38.34,44,B,8,Science,88,605
3606,38.34,43,B,8,Science,88,607
3607,31.09,45,F,1,Science,64,608
3608,38.34,46,B,8,Science,92,609
3619,34.24,40,D,4,Science,75,620
3623,31.09,55,F,1,Science,66,624
3624,38.34,37,B,8,Science,94,625
3625,34.24,50,D,4,Science,77,626
3626,38.34,44,B,8,Science,88,627
3630,36.19,40,C,6,Science,83,631
3633,36.19,46,C,6,Science,83,634
3634,32.72,41,E,2,Science,68,635
3638,36.19,43,C,6,Science,84,639
3640,38.34,43,B,8,Science,94,641
3642,32.72,42,E,2,Science,73,643
3644,36.19,44,C,6,Science,87,645
3647,34.24,39,D,4,Science,79,648
3649,38.34,44,B,8,Science,89,650
3657,31.09,42,F,1,Science,61,658
3659,38.34,44,B,8,Science,89,660
3671,38.34,44,B,8,Science,91,672
3676,34.24,44,D,4,Science,76,677
3679,38.34,48,B,8,Science,94,680
3690,32.72,38,E,2,Science,71,691
3692,38.34,52,B,8,Science,92,693
3693,36.19,39,C,6,Science,86,694
3701,36.19,50,C,6,Science,86,702
3704,36.19,41,C,6,Science,82,705
3714,31.09,46,F,1,Science,66,715
3717,36.19,39,C,6,Science,86,718
3719,38.34,42,B,8,Science,89,720
3723,36.19,41,C,6,Science,84,724
3734,31.09,39,F,1,Science,66,735
3735,36.19,42,C,6,Science,87,736
3739,32.72,45,E,2,Science,68,740
3741,34.24,42,D,4,Science,78,742
3753,36.19,44,C,6,Science,83,754
3759,36.19,43,C,6,Science,83,760
3763,34.24,58,D,4,Science,79,764
3781,38.34,46,B,8,Science,93,782
3783,32.72,42,E,2,Science,71,784
3790,34.24,43,D,4,Science,79,791
3791,38.34,50,B,8,Science,89,792
3798,34.24,45,D,4,Science,78,799
3801,38.34,40,B,8,Science,93,802
3802,38.34,52,B,8,Science,88,803
3808,34.24,51,D,4,Science,77,809
3822,31.09,43,F,1,Science,62,823
3828,34.24,41,D,4,Science,80,829
3832,32.72,48,E,2,Science,73,833
3836,34.24,52,D,4,Science,77,837
3837,38.34,39,B,8,Science,94,838
3840,31.09,45,F,1,Science,62,841
3843,38.34,48,B,8,Science,94,844
3845,36.19,52,C,6,Science,87,846
3849,38.34,39,B,8,Science,90,850
3854,36.19,52,C,6,Science,85,855
3856,31.09,47,F,1,Science,65,857
3860,36.19,39,C,6,Science,82,861
3862,38.34,50,B,8,Science,88,863
3863,38.34,44,B,8,Science,88,864
3864,32.72,45,E,2,Science,71,865
3869,34.24,42,D,4,Science,80,870
3870,34.24,48,D,4,Science,77,871
3873,32.72,58,E,2,Science,72,874
3882,38.34,38,B,8,Science,91,883
3886,38.34,54,B,8,Science,91,887
3889,32.72,40,E,2,Science,72,890
3894,32.72,42,E,2,Science,69,895
3900,32.72,41,E,2,Science,71,901
3911,34.24,44,D,4,Science,75,912
3913,34.24,52,D,4,Science,79,914
3919,38.34,42,B,8,Science,88,920
3921,36.19,38,C,6,Science,84,922
3923,32.72,42,E,2,Science,68,924
3925,36.19,45,C,6,Science,87,926
3927,38.34,53,B,8,Science,91,928
3930,34.24,40,D,4,Science,80,931
3931,36.19,49,C,6,Science,85,932
3933,32.72,38,E,2,Science,72,934
3935,32.72,42,E,2,Science,73,936
3939,34.24,42,D,4,Science,76,940
3944,38.34,49,B,8,Science,93,945
3950,38.34,43,B,8,Science,90,951
3951,38.34,41,B,8,Science,93,952
3954,38.34,42,B,8,Science,93,955
3961,38.34,48,B,8,Science,94,962
3971,38.34,44,B,8,Science,92,972
3972,36.19,45,C,6,Science,85,973
3980,38.34,40,B,8,Science,94,981
3984,38.34,47,B,8,Science,94,985
3987,36.19,44,C,6,Science,85,988
3995,38.34,49,B,8,Science,91,996
3996,34.24,54,D,4,Science,80,997
4004,32.72,52,E,2,Art,67,5
4007,36.19,42,C,6,Art,84,8
4010,38.34,45,B,8,Art,93,11
4011,34.24,52,D,4,Art,77,12
4013,34.24,45,D,4,Art,79,14
4015,36.19,54,C,6,Art,82,16
4016,34.24,42,D,4,Art,80,17
4021,31.09,43,F,1,Art,60,22
4022,38.34,52,B,8,Art,91,23
4023,38.34,46,B,8,Art,92,24
4041,38.34,51,B,8,Art,90,42
4042,36.19,48,C,6,Art,82,43
4043,36.19,41,C,6,Art,81,44
4046,38.34,41,B,8,Art,91,47
4048,36.19,39,C,6,Art,86,49
4050,38.34,46,B,8,Art,91,51
4053,38.34,44,B,8,Art,92,54
4054,38.34,45,B,8,Art,88,55
4057,34.24,44,D,4,Art,77,58
4064,38.34,56,B,8,Art,90,65
4079,36.19,52,C,6,Art,81,80
4083,38.34,49,B,8,Art,90,84
4085,34.24,40,D,4,Art,79,86
4088,31.09,47,F,1,Art,60,89
4098,34.24,44,D,4,Art,80,99
4099,34.24,42,D,4,Art,76,100
4100,38.34,42,B,8,Art,93,101
4104,36.19,41,C,6,Art,86,105
4129,38.34,52,B,8,Art,93,130
4130,32.72,42,E,2,Art,73,131
4144,34.24,50,D,4,Art,79,145
4146,32.72,44,E,2,Art,69,147
4150,38.34,48,B,8,Art,93,151
4155,36.19,44,C,6,Art,81,156
4158,31.09,49,F,1,Art,61,159
4160,36.19,46,C,6,Art,82,161
4161,36.19,38,C,6,Art,83,162
4162,36.19,46,C,6,Art,82,163
4168,36.19,47,C,6,Art,85,169
4175,31.09,43,F,1,Art,61,176
4183,31.09,45,F,1,Art,65,184
4184,32.72,44,E,2,Art,67,185
4186,38.34,46,B,8,Art,88,187
4187,36.19,43,C,6,Art,84,188
4192,32.72,41,E,2,Art,69,193
4193,36.19,44,C,6,Art,84,194
4195,31.09,39,F,1,Art,62,196
4197,32.72,42,E,2,Art,70,198
4200,36.19,44,C,6,Art,83,201
4202,38.34,56,B,8,Art,92,203
4205,34.24,40,D,4,Art,74,206
4217,36.19,42,C,6,Art,87,218
4219,34.24,50,D,4,Art,74,220
4226,34.24,44,D,4,Art,79,227
4235,34.24,44,D,4,Art,75,236
4237,38.34,44,B,8,Art,89,238
4242,32.72,42,E,2,Art,68,243
4258,31.09,49,F,1,Art,64,259
4259,32.72,46,E,2,Art,70,260
4261,36.19,43,C,6,Art,81,262
4262,31.09,43,F,1,Art,63,263
4265,38.34,46,B,8,Art,88,266
4266,36.19,48,C,6,Art,86,267
4271,38.34,51,B,8,Art,92,272
4281,38.34,46,B,8,Art,92,282
4288,32.72,50,E,2,Art,69,289
4294,38.34,44,B,8,Art,93,295
4297,38.34,50,B,8,Art,90,298
4301,38.34,43,B,8,Art,88,302
4302,36.19,44,C,6,Art,85,303
4306,36.19,50,C,6,Art,86,307
4311,36.19,38,C,6,Art,82,312
4312,36.19,48,C,6,Art,86,313
4313,32.72,45,E,2,Art,71,314
4317,36.19,42,C,6,Art,83,318
4320,38.34,52,B,8,Art,93,321
4324,34.24,42,D,4,Art,78,325
4327,36.19,42,C,6,Art,83,328
4340,38.34,44,B,8,Art,92,341
4349,32.72,46,E,2,Art,67,350
4352,38.34,42,B,8,Art,88,353
4367,32.72,41,E,2,Art,72,368
4370,36.19,47,C,6,Art,86,371
4379,38.34,43,B,8,Art,90,380
4391,34.24,43,D,4,Art,79,392
4396,32.72,48,E,2,Art,71,397
4411,32.72,42,E,2,Art,67,412
4425,38.34,43,B,8,Art,88,426
4433,36.19,43,C,6,Art,87,434
4434,36.19,45,C,6,Art,81,435
4438,38.34,41,B,8,Art,90,439
4445,36.19,44,C,6,Art,84,446
4459,34.24,46,D,4,Art,78,460
4463,36.19,50,C,6,Art,81,464
4464,38.34,44,B,8,Art,93,465
4465,38.34,48,B,8,Art,88,466
4476,36.19,41,C,6,Art,82,477
4482,34.24,42,D,4,Art,78,483
4484,32.72,38,E,2,Art,73,485
4492,31.09,43,F,1,Art,60,493
4496,36.19,45,C,6,Art,84,497
4497,38.34,40,B,8,Art,93,498
4501,34.24,44,D,4,Art,74,502
4503,32.72,47,E,2,Art,70,504
4505,32.72,43,E,2,Art,72,506
4509,36.19,40,C,6,Art,85,510
4510,38.34,41,B,8,Art,88,511
4514,34.24,50,D,4,Art,79,515
4515,32.72,44,E,2,Art,72,516
4522,32.72,42,E,2,Art,68,523
4527,38.34,48,B,8,Art,90,528
4528,32.72,41,E,2,Art,70,529
4529,34.24,43,D,4,Art,78,530
4530,38.34,40,B,8,Art,88,531
4531,32.72,44,E,2,Art,70,532
4532,32.72,46,E,2,Art,67,533
4537,32.72,42,E,2,Art,71,538
4538,38.34,48,B,8,Art,91,539
4540,31.09,43,F,1,Art,60,541
4549,32.72,48,E,2,Art,68,550
4558,34.24,45,D,4,Art,78,559
4559,36.19,40,C,6,Art,87,560
4564,38.34,42,B,8,Art,89,565
4571,36.19,42,C,6,Art,83,572
4576,36.19,40,C,6,Art,84,577
4577,38.34,48,B,8,Art,90,578
4580,38.34,48,B,8,Art,91,581
4581,36.19,46,C,6,Art,84,582
4584,36.19,41,C,6,Art,82,585
4590,38.34,38,B,8,Art,90,591
4596,36.19,42,C,6,Art,84,597
4598,38.34,46,B,8,Art,90,599
4599,38.34,51,B,8,Art,92,600
4600,36.19,46,C,6,Art,83,601
4601,38.34,42,B,8,Art,88,602
4606,36.19,43,C,6,Art,85,607
4608,32.72,46,E,2,Art,72,609
4619,34.24,40,D,4,Art,80,620
4624,36.19,37,C,6,Art,87,625
4625,38.34,50,B,8,Art,90,626
4626,34.24,44,D,4,Art,74,627
4630,31.09,40,F,1,Art,66,631
4640,38.34,43,B,8,Art,91,641
4642,36.19,42,C,6,Art,87,643
4644,34.24,44,D,4,Art,77,645
4647,36.19,39,C,6,Art,87,648
4649,34.24,44,D,4,Art,75,650
4650,32.72,40,E,2,Art,69,651
4653,38.34,47,B,8,Art,91,654
4657,31.09,42,F,1,Art,66,658
4658,36.19,43,C,6,Art,84,659
4659,32.72,44,E,2,Art,70,660
4668,38.34,50,B,8,Art,88,669
4676,34.24,44,D,4,Art,78,677
4679,36.19,48,C,6,Art,81,680
4686,38.34,54,B,8,Art,93,687
4690,32.72,38,E,2,Art,73,691
4693,38.34,39,B,8,Art,89,694
4701,34.24,50,D,4,Art,79,702
4704,34.24,41,D,4,Art,78,705
4714,31.09,46,F,1,Art,64,715
4717,31.09,39,F,1,Art,66,718
4719,31.09,42,F,1,Art,62,720
4720,34.24,42,D,4,Art,78,721
4723,34.24,41,D,4,Art,80,724
4724,34.24,42,D,4,Art,77,725
4727,36.19,41,C,6,Art,85,728
4734,38.34,39,B,8,Art,93,735
4735,32.72,42,E,2,Art,69,736
4739,38.34,45,B,8,Art,92,740
4741,32.72,42,E,2,Art,73,742
4753,36.19,44,C,6,Art,81,754
4765,38.34,47,B,8,Art,92,766
4769,34.24,39,D,4,Art,78,770
4776,34.24,42,D,4,Art,75,777
4781,34.24,46,D,4,Art,80,782
4790,31.09,43,F,1,Art,60,791
4791,36.19,50,C,6,Art,87,792
4798,31.09,45,F,1,Art,66,799
4801,32.72,40,E,2,Art,70,802
4807,38.34,58,B,8,Art,90,808
4808,31.09,51,F,1,Art,63,809
4828,34.24,41,D,4,Art,76,829
4830,38.34,43,B,8,Art,91,831
4832,38.34,48,B,8,Art,91,833
4836,38.34,52,B,8,Art,93,837
4838,34.24,58,D,4,Art,78,839
4840,38.34,45,B,8,Art,89,841
4843,38.34,48,B,8,Art,92,844
4844,36.19,46,C,6,Art,84,845
4849,38.34,39,B,8,Art,92,850
4854,38.34,52,B,8,Art,93,855
4856,38.34,47,B,8,Art,93,857
4860,36.19,39,C,6,Art,87,861
4862,34.24,50,D,4,Art,76,863
4864,38.34,45,B,8,Art,91,865
4866,34.24,52,D,4,Art,78,867
4869,36.19,42,C,6,Art,81,870
4882,32.72,38,E,2,Art,70,883
4889,38.34,40,B,8,Art,92,890
4896,34.24,43,D,4,Art,75,897
4900,38.34,41,B,8,Art,93,901
4910,34.24,48,D,4,Art,75,911
4913,38.34,52,B,8,Art,88,914
4921,36.19,38,C,6,Art,87,922
4923,32.72,42,E,2,Art,67,924
4925,32.72,45,E,2,Art,69,926
4930,36.19,40,C,6,Art,87,931
4935,38.34,42,B,8,Art,92,936
4950,38.34,43,B,8,Art,93,951
4951,36.19,41,C,6,Art,84,952
4954,38.34,42,B,8,Art,91,955
4961,32.72,48,E,2,Art,68,962
4971,34.24,44,D,4,Art,74,972
4974,38.34,43,B,8,Art,93,975
4980,38.34,40,B,8,Art,93,981
4981,36.19,52,C,6,Art,87,982
4984,36.19,47,C,6,Art,83,985
4987,38.34,44,B,8,Art,92,988
4995,38.34,49,B,8,Art,91,996
5003,34.24,44,D,4,History,77,4
5004,34.24,52,D,4,History,77,5
5007,38.34,42,B,8,History,87,8
5010,38.34,45,B,8,History,87,11
5016,34.24,42,D,4,History,73,17
5021,38.34,43,B,8,History,93,22
5023,32.72,46,E,2,History,70,24
5024,38.34,47,B,8,History,93,25
5034,38.34,52,B,8,History,91,35
5042,34.24,48,D,4,History,76,43
5043,32.72,41,E,2,History,72,44
5046,36.19,41,C,6,History,84,47
5048,38.34,39,B,8,History,92,49
5050,32.72,46,E,2,History,70,51
5053,38.34,44,B,8,History,88,54
5054,36.19,45,C,6,History,81,55
5056,32.72,48,E,2,History,72,57
5057,38.34,44,B,8,History,91,58
5062,38.34,49,B,8,History,93,63
5083,31.09,49,F,1,History,60,84
5088,38.34,47,B,8,History,91,89
5089,32.72,41,E,2,History,68,90
5095,36.19,45,C,6,History,83,96
5098,34.24,44,D,4,History,74,99
5100,36.19,42,C,6,History,84,101
5101,38.34,46,B,8,History,92,102
5104,38.34,41,B,8,History,87,105
5118,31.09,41,F,1,History,62,119
5129,38.34,52,B,8,History,88,130
5130,38.34,42,B,8,History,93,131
5140,36.19,44,C,6,History,84,141
5144,38.34,50,B,8,History,92,145
5145,32.72,44,E,2,History,67,146
5146,34.24,44,D,4,History,78,147
5148,36.19,47,C,6,History,82,149
5150,38.34,48,B,8,History,93,151
5155,38.34,44,B,8,History,90,156
5158,34.24,49,D,4,History,76,159
5161,32.72,38,E,2,History,69,162
5162,32.72,46,E,2,History,69,163
5168,38.34,47,B,8,History,90,169
5175,32.72,43,E,2,History,71,176
5179,36.19,48,C,6,History,83,180
5183,32.72,45,E,2,History,72,184
5184,36.19,44,C,6,History,83,185
5186,38.34,46,B,8,History,88,187
5187,32.72,43,E,2,History,72,188
5195,32.72,39,E,2,History,71,196
5197,38.34,42,B,8,History,87,198
5200,36.19,44,C,6,History,84,201
5205,32.72,40,E,2,History,72,206
5208,38.34,43,B,8,History,92,209
5215,32.72,43,E,2,History,72,216
5217,32.72,42,E,2,History,71,218
5226,38.34,44,B,8,History,87,227
5228,38.34,39,B,8,History,89,229
5234,31.09,44,F,1,History,63,235
5235,32.72,44,E,2,History,71,236
5237,32.72,44,E,2,History,67,238
5239,31.09,43,F,1,History,61,240
5242,36.19,42,C,6,History,80,243
5251,32.72,43,E,2,History,68,252
5258,36.19,49,C,6,History,85,259
5261,38.34,43,B,8,History,90,262
5262,34.24,43,D,4,History,73,263
5265,32.72,46,E,2,History,71,266
5266,36.19,48,C,6,History,80,267
5279,38.34,41,B,8,History,93,280
5281,38.34,46,B,8,History,87,282
5284,38.34,43,B,8,History,88,285
5293,38.34,41,B,8,History,88,294
5301,34.24,43,D,4,History,78,302
5302,34.24,44,D,4,History,73,303
5306,36.19,50,C,6,History,86,307
5311,34.24,38,D,4,History,77,312
5312,34.24,48,D,4,History,75,313
5313,36.19,45,C,6,History,84,314
5317,36.19,42,C,6,History,84,318
5320,38.34,52,B,8,History,92,321
5322,32.72,44,E,2,History,69,323
5324,31.09,42,F,1,History,66,325
5325,32.72,47,E,2,History,67,326
5327,32.72,42,E,2,History,68,328
5336,38.34,47,B,8,History,91,337
5338,32.72,44,E,2,History,69,339
5340,31.09,44,F,1,History,60,341
5352,36.19,42,C,6,History,84,353
5357,38.34,48,B,8,History,93,358
5362,31.09,40,F,1,History,62,363
5367,34.24,41,D,4,History,78,368
5370,38.34,47,B,8,History,91,371
5376,36.19,49,C,6,History,86,377
5379,34.24,43,D,4,History,78,380
5391,38.34,43,B,8,History,93,392
5410,32.72,42,E,2,History,72,411
5411,36.19,42,C,6,History,85,412
5425,31.09,43,F,1,History,60,426
5433,31.09,43,F,1,History,65,434
5434,38.34,45,B,8,History,89,435
5438,36.19,41,C,6,History,86,439
5445,32.72,44,E,2,History,68,446
5459,36.19,46,C,6,History,86,460
5463,32.72,50,E,2,History,67,464
5464,36.19,44,C,6,History,86,465
5465,38.34,48,B,8,History,90,466
5474,38.34,44,B,8,History,92,475
5476,38.34,41,B,8,History,91,477
5482,36.19,42,C,6,History,81,483
5492,34.24,43,D,4,History,77,493
5496,34.24,45,D,4,History,76,497
5501,38.34,44,B,8,History,90,502
5505,32.72,43,E,2,History,69,506
5509,36.19,40,C,6,History,85,510
5510,38.34,41,B,8,History,91,511
5515,36.19,44,C,6,History,81,516
5527,32.72,48,E,2,History,68,528
5528,31.09,41,F,1,History,64,529
5529,32.72,43,E,2,History,69,530
5530,36.19,40,C,6,History,81,531
5532,34.24,46,D,4,History,73,533
5537,38.34,42,B,8,History,93,538
5538,34.24,48,D,4,History,73,539
5540,32.72,43,E,2,History,71,541
5545,32.72,44,E,2,History,72,546
5546,31.09,43,F,1,History,65,547
5550,38.34,52,B,8,History,89,551
5557,38.34,48,B,8,History,87,558
5558,38.34,45,B,8,History,90,559
5559,38.34,40,B,8,History,93,560
5564,36.19,42,C,6,History,85,565
5571,38.34,42,B,8,History,91,572
5576,32.72,40,E,2,History,71,577
5581,36.19,46,C,6,History,81,582
5590,32.72,38,E,2,History,68,591
5596,32.72,42,E,2,History,68,597
5598,36.19,46,C,6,History,81,599
5599,36.19,51,C,6,History,84,600
5604,36.19,44,C,6,History,83,605
5606,34.24,43,D,4,History,74,607
5608,36.19,46,C,6,History,83,609
5619,36.19,40,C,6,History,83,620
5624,36.19,37,C,6,History,86,625
5626,38.34,44,B,8,History,87,627
5633,36.19,46,C,6,History,86,634
5634,38.34,41,B,8,History,93,635
5638,31.09,43,F,1,History,66,639
5640,34.24,43,D,4,History,79,641
5642,32.72,42,E,2,History,71,643
5647,34.24,39,D,4,History,77,648
5656,38.34,44,B,8,History,92,657
5658,31.09,43,F,1,History,65,659
5659,38.34,44,B,8,History,87,660
5668,32.72,50,E,2,History,72,669
5671,36.19,44,C,6,History,85,672
5676,36.19,44,C,6,History,84,677
5679,38.34,48,B,8,History,93,680
5683,38.34,50,B,8,History,87,684
5686,34.24,54,D,4,History,73,687
5690,38.34,38,B,8,History,87,691
5693,36.19,39,C,6,History,86,694
5701,36.19,50,C,6,History,82,702
5704,36.19,41,C,6,History,82,705
5714,36.19,46,C,6,History,84,715
5717,32.72,39,E,2,History,68,718
5719,36.19,42,C,6,History,86,720
5720,36.19,42,C,6,History,84,721
5723,36.19,41,C,6,History,86,724
5724,38.34,42,B,8,History,90,725
5727,38.34,41,B,8,History,93,728
5735,34.24,42,D,4,History,77,736
5739,38.34,45,B,8,History,92,740
5753,38.34,44,B,8,History,93,754
5769,34.24,39,D,4,History,77,770
5776,36.19,42,C,6,History,81,777
5783,34.24,42,D,4,History,77,784
5790,38.34,43,B,8,History,91,791
5791,36.19,50,C,6,History,83,792
5801,36.19,40,C,6,History,85,802
5802,32.72,52,E,2,History,70,803
5807,38.34,58,B,8,History,92,808
5808,38.34,51,B,8,History,88,809
5815,36.19,43,C,6,History,82,816
5822,36.19,43,C,6,History,82,823
5828,31.09,41,F,1,History,63,829
5830,36.19,43,C,6,History,82,831
5832,38.34,48,B,8,History,93,833
5836,38.34,52,B,8,History,87,837
5837,34.24,39,D,4,History,76,838
5844,34.24,46,D,4,History,73,845
5845,36.19,52,C,6,History,84,846
5860,31.09,39,F,1,History,64,861
5866,38.34,52,B,8,History,92,867
5867,31.09,43,F,1,History,66,868
5869,32.72,42,E,2,History,68,870
5882,36.19,38,C,6,History,84,883
5886,38.34,54,B,8,History,93,887
5889,38.34,40,B,8,History,87,890
5894,32.72,42,E,2,History,68,895
5900,36.19,41,C,6,History,83,901
5911,32.72,44,E,2,History,72,912
5919,32.72,42,E,2,History,68,920
5921,34.24,38,D,4,History,79,922
5923,38.34,42,B,8,History,89,924
5927,38.34,53,B,8,History,93,928
5930,36.19,40,C,6,History,81,931
5931,31.09,49,F,1,History,62,932
5933,34.24,38,D,4,History,79,934
5935,36.19,42,C,6,History,84,936
5939,34.24,42,D,4,History,79,940
5943,31.09,40,F,1,History,61,944
5950,31.09,43,F,1,History,65,951
5954,34.24,42,D,4,History,73,955
5960,32.72,50,E,2,History,70,961
5961,36.19,48,C,6,History,86,962
5971,38.34,44,B,8,History,87,972
5972,38.34,45,B,8,History,93,973
5974,32.72,43,E,2,History,70,975
5980,32.72,40,E,2,History,69,981
5987,38.34,44,B,8,History,91,988
5996,36.19,54,C,6,History,80,997
6003,31.09,44,F,1,Geography,62,4
6007,32.72,42,E,2,Geography,71,8
6010,32.72,45,E,2,Geography,70,11
6011,38.34,52,B,8,Geography,94,12
6015,34.24,54,D,4,Geography,79,16
6016,36.19,42,C,6,Geography,84,17
6021,34.24,43,D,4,Geography,80,22
6022,38.34,52,B,8,Geography,90,23
6024,36.19,47,C,6,Geography,81,25
6034,36.19,52,C,6,Geography,84,35
6041,31.09,51,F,1,Geography,60,42
6042,38.34,48,B,8,Geography,93,43
6043,31.09,41,F,1,Geography,62,44
6046,34.24,41,D,4,Geography,76,47
6048,31.09,39,F,1,Geography,62,49
6050,38.34,46,B,8,Geography,91,51
6053,32.72,44,E,2,Geography,73,54
6055,38.34,55,B,8,Geography,92,56
6056,38.34,48,B,8,Geography,92,57
6062,32.72,49,E,2,Geography,68,63
6079,38.34,52,B,8,Geography,93,80
6085,32.72,40,E,2,Geography,71,86
6088,36.19,47,C,6,Geography,84,89
6089,38.34,41,B,8,Geography,89,90
6095,31.09,45,F,1,Geography,65,96
6099,36.19,42,C,6,Geography,81,100
6100,38.34,42,B,8,Geography,89,101
6101,38.34,46,B,8,Geography,92,102
6104,38.34,41,B,8,Geography,90,105
6118,34.24,41,D,4,Geography,74,119
6130,31.09,42,F,1,Geography,61,131
6140,38.34,44,B,8,Geography,89,141
6144,34.24,50,D,4,Geography,80,145
6145,32.72,44,E,2,Geography,72,146
6146,34.24,44,D,4,Geography,78,147
6148,36.19,47,C,6,Geography,81,149
6150,38.34,48,B,8,Geography,94,151
6155,34.24,44,D,4,Geography,75,156
6158,38.34,49,B,8,Geography,90,159
6161,36.19,38,C,6,Geography,81,162
6162,38.34,46,B,8,Geography,91,163
6168,36.19,47,C,6,Geography,88,169
6175,34.24,43,D,4,Geography,75,176
6179,38.34,48,B,8,Geography,90,180
6183,38.34,45,B,8,Geography,90,184
6184,34.24,44,D,4,Geography,80,185
6186,32.72,46,E,2,Geography,67,187
6192,32.72,41,E,2,Geography,72,193
6193,36.19,44,C,6,Geography,86,194
6195,36.19,39,C,6,Geography,87,196
6196,36.19,51,C,6,Geography,88,197
6197,32.72,42,E,2,Geography,73,198
6200,34.24,44,D,4,Geography,78,201
6202,38.34,56,B,8,Geography,91,203
6208,32.72,43,E,2,Geography,73,209
6215,31.09,43,F,1,Geography,61,216
6217,34.24,42,D,4,Geography,79,218
6224,32.72,43,E,2,Geography,70,225
6226,36.19,44,C,6,Geography,82,227
6228,38.34,39,B,8,Geography,90,229
6235,38.34,44,B,8,Geography,89,236
6237,36.19,44,C,6,Geography,88,238
6242,36.19,42,C,6,Geography,86,243
6251,31.09,43,F,1,Geography,66,252
6259,32.72,46,E,2,Geography,70,260
6265,38.34,46,B,8,Geography,91,266
6271,38.34,51,B,8,Geography,90,272
6279,38.34,41,B,8,Geography,90,280
6281,36.19,46,C,6,Geography,86,282
